model,group,hop,n_targets,n_samples_total,epr_weighted,flip_rate_weighted,clean_acc_weighted,poisoned_acc_weighted,accuracy_drop_weighted,clean_margin_weighted,poisoned_margin_weighted,margin_change_weighted,epr_target_mean,epr_target_std,flip_rate_target_mean,accuracy_drop_target_mean,clean_margin_target_mean,margin_change_target_mean
Qwen3.5-2B,hub,d1,15,268,0.5429909435506451,0.5520527772393444,0.8059701492537313,0.3619402985074627,0.44402985074626866,4.284514928934227,2.3605410374622346,-1.9239738914719924,0.5359070559070559,0.27160594171271774,0.5454308654308654,0.41742144228245986,4.2123535678745805,-1.5284484084866012
Qwen3.5-2B,hub,d2,15,1576,0.30779369827679026,0.34537618966755995,0.4803299492385787,0.3343908629441624,0.14593908629441624,3.2935834488401032,2.824476519616926,-0.4691069292231772,0.3052201604694018,0.24361260603934637,0.345593122722955,0.1508184320483259,3.3365852840087546,-0.3821988927300462
Qwen3.5-2B,hub,d3,15,6980,0.3411451496832238,0.40744312876947963,0.3319484240687679,0.21948424068767908,0.11246418338108882,3.036855300788507,3.3632969205076195,0.3264416197191124,0.33311986589808174,0.17066857663816642,0.3928074703598792,0.11442987909854288,2.9781238437160695,0.27293027630222694
Qwen3.5-2B,hub,d4,15,14146,0.26906901391930915,0.3446912000488767,0.30757811395447476,0.22472783825816486,0.08285027569630991,2.845614484508592,3.0741110564480962,0.22849657193950437,0.2832024356828845,0.1971325037081489,0.3580127918509826,0.08526466766616692,2.8157851428505722,0.21850789017740355
Qwen3.5-2B,hub,d5,15,14493,0.29147918204362183,0.3638902516090715,0.31339267232457046,0.2207962464638101,0.09259642586076036,2.899059027510666,3.225833160019955,0.32677413250928844,0.29077114704320445,0.20220362735383612,0.3623675726988878,0.09330601757944558,2.8968232153817084,0.3426774685305935
Qwen3.5-2B,random,d1,15,81,0.8415178571428572,0.8415178571428572,0.2962962962962963,0.09876543209876543,0.19753086419753085,2.666666674850233,3.883487644549107,1.2168209696988743,0.7718253968253969,0.3411025337395745,0.7718253968253969,0.21968253968253967,2.808723557874925,1.3866104114337585
Qwen3.5-2B,random,d2,15,546,0.3601226019689253,0.402227798359836,0.6355311355311355,0.40293040293040294,0.2326007326007326,3.7692307810745356,3.368246339856561,-0.4009844412179744,0.37440759967267684,0.27519831563631536,0.4214417507068278,0.24764569811713452,3.63899405258684,-0.3043814626807578
Qwen3.5-2B,random,d3,15,2937,0.2650215506240282,0.32077904572998045,0.4473953013278856,0.3265236636023153,0.12087163772557032,3.1264896198811396,2.979315628501079,-0.14717399138006068,0.29751237433234884,0.19631157074664785,0.3534425915241379,0.1436840122326185,3.249445128243536,-0.33907108015401244
Qwen3.5-2B,random,d4,15,10573,0.3300414967583503,0.39728962452646405,0.34540811500993096,0.22793909013525016,0.11746902487468079,3.0475148973375923,3.003942825447014,-0.04357207189057789,0.3391537455985954,0.1490615332738931,0.40406434126854757,0.12355362942141601,3.078570040468126,-0.12816448166353778
Qwen3.5-2B,random,d5,15,14433,0.3365518227816799,0.4055412295927183,0.31275549088893506,0.20460056814245134,0.10815492274648375,2.9418130342485758,2.790441177884326,-0.15137185636424966,0.3299885908468245,0.1487190870765623,0.3987061531365854,0.10659830638953041,2.9417318436695106,-0.11568498910858115
Qwen3.5-2B,tail,d1,15,19,1.0,1.0,0.42105263157894735,0.05263157894736842,0.3684210526315789,3.447368413049844,1.6907894739415497,-1.7565789391082944,1.0,0.0,1.0,0.37777777777777777,3.656944426236118,-1.847222203015311
Qwen3.5-2B,tail,d2,14,194,0.4008669583535894,0.4008669583535894,0.788659793814433,0.4639175257731959,0.3247422680412371,3.8659793877597304,2.42300256624123,-1.4429768215185008,0.44536713286713286,0.3299135257227605,0.44536713286713286,0.28672629130703664,3.2816747825956902,-0.8186748727413385
Qwen3.5-2B,tail,d3,14,1121,0.22935873802765608,0.2902586337179175,0.5388046387154326,0.41837644959857273,0.12042818911685994,3.173784573079335,3.0138826872069195,-0.15990188587241588,0.22360725156643524,0.15174284099456967,0.30807248210309435,0.12758883730244716,3.3157609618821637,-0.16761138797848124
