model,group,hop,n_mask_b,mean_dLP,median_dLP,mean_dProb,mean_margin_change,flip_rate_mask_b
Qwen3.5-2B,hub,d1,216,0.3078744511714893,0.3274173147412788,0.23278351070721565,-2.3185763999844884,0.5555555555555556
Qwen3.5-2B,hub,d2,757,0.30158079025031426,0.31380768275359117,0.21275735359179154,-0.9742404455559505,0.3381770145310436
Qwen3.5-2B,hub,d3,2317,0.26460302239072464,0.2724079165862883,0.1863823369589464,-0.31279672379131607,0.3992231333621062
Qwen3.5-2B,hub,d4,4351,0.2734696612414966,0.28124775158437987,0.19158735121477236,-0.42694208073753276,0.3433693403815215
Qwen3.5-2B,hub,d5,4542,0.2550712532498995,0.26582948559923303,0.1801021007199795,-0.5156594004753409,0.36591809775429324
Qwen3.5-2B,random,d2,347,0.3254928977458768,0.33407251537647087,0.24042907909244757,-0.7193804118498875,0.39481268011527376
Qwen3.5-2B,random,d3,1314,0.3294986709983316,0.33898179414949714,0.2361012133759615,-0.7420567029096243,0.3264840182648402
Qwen3.5-2B,random,d4,3652,0.3064843062529345,0.3074862423175339,0.21732896542547658,-0.6949445527768148,0.40470974808324206
Qwen3.5-2B,random,d5,4514,0.29881775709206254,0.30556579575319626,0.21290718717287624,-0.6992689423667837,0.4131590607000443
Qwen3.5-2B,random,d1,24,0.4348888578810784,0.46606392009860864,0.3252540411475226,1.499999965226986,0.6666666666666666
Qwen3.5-2B,tail,d1,8,0.3807283061261809,0.4091356564155674,0.2928581438789651,-2.2500000044237822,1.0
Qwen3.5-2B,tail,d2,153,0.30504937543455757,0.30893726192889415,0.22879420632142355,-1.7896242010992984,0.4117647058823529
Qwen3.5-2B,tail,d3,604,0.3240577999008504,0.33028458570674957,0.23047853434775803,-0.9644039854461783,0.26655629139072845
Qwen3.5-2B,tail,d4,1773,0.2962825842780045,0.30589973691124733,0.2104783343138835,-0.6267625450332878,0.4168076706147772
Qwen3.5-2B,tail,d5,3695,0.2953208676970627,0.2967598790756938,0.2086408247235362,-0.6965663050527284,0.35453315290933696
Qwen3.5-9B,hub,d1,216,0.16434176927941987,0.16854598774796814,0.14146054120626875,-2.4968171249432394,0.8472222222222222
Qwen3.5-9B,hub,d2,880,0.1223017754238421,0.13459919831933292,0.10287742775940222,-2.6682528391727995,0.6238636363636364
Qwen3.5-9B,hub,d3,3187,0.123165498480067,0.13531816898284546,0.10287062914272964,-1.9663672759298756,0.5531848133040477
Qwen3.5-9B,hub,d4,6107,0.1272640420044087,0.1382365478991625,0.10581012554403,-2.042901587811492,0.5434747011626003
Qwen3.5-9B,hub,d5,6262,0.12210516967464703,0.13378429119336055,0.10233516342126135,-1.9618133192411298,0.5689875439156818
Qwen3.5-9B,random,d2,385,0.14496302801453287,0.1570643435735685,0.12264980766178595,-2.5074675376224635,0.5428571428571428
Qwen3.5-9B,random,d3,1581,0.11611028333947844,0.13412661437203535,0.09874666840192986,-2.4803921582473034,0.5597722960151803
Qwen3.5-9B,random,d4,4933,0.11828177136796449,0.1308395767535444,0.09988106110014197,-2.1133311397375643,0.5118589093857693
Qwen3.5-9B,random,d5,6239,0.12154497960459484,0.1333262494219305,0.10148895463184447,-1.9451334344137372,0.5093765026446546
Qwen3.5-9B,random,d1,29,0.2371285484027826,0.24880335405952858,0.1983013111178627,-0.8922413397843323,0.9310344827586207
Qwen3.5-9B,tail,d1,10,0.1513120554426419,0.16047948320485766,0.1361961355916868,-2.9124999656400177,1.0
Qwen3.5-9B,tail,d2,158,0.11788096379416485,0.13636062133441468,0.10210892644671406,-2.8500791169933075,0.6139240506329114
Qwen3.5-9B,tail,d3,679,0.09343168675782836,0.11008122598320569,0.08163205190954577,-2.501380712307814,0.5743740795287187
Qwen3.5-9B,tail,d4,2394,0.09236716556832339,0.10233781991696743,0.0788439654828964,-2.0037594022650893,0.4502923976608187
Qwen3.5-9B,tail,d5,5117,0.1009781738566835,0.11018969975165355,0.0847286177284053,-2.1179524113436154,0.4326753957396912
Gemma-4-E4B-it,hub,d1,220,0.0028453686265705333,-0.0005377603764869694,0.002071006296023033,-1.1841619294476728,0.022727272727272728
Gemma-4-E4B-it,hub,d2,726,0.015432790553002493,0.008495313896107174,0.013390104499181781,-0.3257468038162522,0.07162534435261708
Gemma-4-E4B-it,hub,d3,2245,0.015152429413028957,0.0014067472902138695,0.012790985109767524,-0.2657433108311728,0.11180400890868597
Gemma-4-E4B-it,hub,d4,4310,0.01270399565400686,0.001532604872293872,0.010654645993261116,-0.12072373361190128,0.10162412993039444
Gemma-4-E4B-it,hub,d5,4591,0.011558697535410327,0.0007178117411084789,0.0098508097077267,-0.028932275351473725,0.09976040078414289
Gemma-4-E4B-it,random,d2,350,0.0012173396739911266,-0.00014978929467650558,0.000918953998158803,-1.1593749603172794,0.06857142857142857
Gemma-4-E4B-it,random,d3,1289,0.002914401482798301,0.0005770710891273845,0.002408261971157124,-0.611035678045763,0.0899922420480993
Gemma-4-E4B-it,random,d4,3674,0.006840009342757115,0.00041611432008759053,0.005545915685447726,-0.4059214585443579,0.1211213935764834
Gemma-4-E4B-it,random,d5,4692,0.006518679487233801,0.0003374569407830208,0.005510072213239855,-0.38577194371689727,0.12297527706734868
Gemma-4-E4B-it,random,d1,19,0.006506821822424145,0.0032110333988841526,0.004410055408330744,-0.9473684144135117,0.15789473684210525
Gemma-4-E4B-it,tail,d1,10,-0.02029976038430064,-0.004463668294715543,-0.018219292702195865,-1.8937500188039849,0.4
Gemma-4-E4B-it,tail,d2,154,0.0022706004574145613,-6.735708815908126e-05,0.001993696657733974,-1.1682223969472347,0.05194805194805195
Gemma-4-E4B-it,tail,d3,601,0.009514674730964649,0.002829667974711211,0.008111836554111457,-0.21248440863402837,0.05490848585690516
Gemma-4-E4B-it,tail,d4,1730,0.009561987151474523,0.0004180409824686151,0.007830058891249634,-0.4964956559445407,0.1416184971098266
Gemma-4-E4B-it,tail,d5,3702,0.008363581307147497,0.0008617993812810216,0.00681598113356977,-0.4776387715801779,0.1202052944354403
Gemma-4-31B-it,hub,d1,226,-0.04487861050501273,-0.015639568348160906,-0.039852577953284535,-8.877350577348258,0.5176991150442478
Gemma-4-31B-it,hub,d2,903,-0.03795635240159741,-0.014329172855216938,-0.033365816931185156,-7.170551236283536,0.2823920265780731
Gemma-4-31B-it,hub,d3,3405,-0.021218243164044512,-0.005238523391276709,-0.01830323123214818,-6.224944888439983,0.23348017621145375
Gemma-4-31B-it,hub,d4,6379,-0.022939132096356042,-0.0062679462479249696,-0.01987729411415717,-5.769406286458518,0.2334221664837749
Gemma-4-31B-it,hub,d5,6441,-0.02335936088252615,-0.006879776941795847,-0.020333127551696858,-5.796985334580125,0.2505822077317187
Gemma-4-31B-it,random,d2,386,-0.022783015020282668,-0.0025032026541665945,-0.01996124467581023,-7.297279733250075,0.22797927461139897
Gemma-4-31B-it,random,d3,1669,-0.013213284708141449,-0.0015407392824698767,-0.011435892726217076,-5.974193883647579,0.15937687237866988
Gemma-4-31B-it,random,d4,5413,-0.007295004671412128,-0.00023462656709740927,-0.005874708595812816,-5.315509201889364,0.1614631442822834
Gemma-4-31B-it,random,d5,6698,-0.01166399843689037,-0.0017437997133752888,-0.009961474562101936,-5.069242869259418,0.18408480143326367
Gemma-4-31B-it,random,d1,27,0.003313432662658308,0.005491590603148903,0.003690264634128257,-4.207175960886322,0.2222222222222222
Gemma-4-31B-it,tail,d1,10,0.0031400198836877015,0.0009815190431936168,0.0030284825670845892,-5.806249890702441,0.4
Gemma-4-31B-it,tail,d2,158,-0.02877002916266651,-0.005012383105372229,-0.02585626550904665,-8.670885999052555,0.3987341772151899
Gemma-4-31B-it,tail,d3,706,-0.03399925343741265,-0.017114512295620957,-0.030593381085580896,-6.732383093367206,0.3314447592067989
Gemma-4-31B-it,tail,d4,2651,-0.018129867815480434,-0.0030907052149083047,-0.015479757694575214,-5.788293286255831,0.1912485854394568
Gemma-4-31B-it,tail,d5,5515,-0.016701447091197266,-0.0029968746252282685,-0.014319829388446824,-5.391264545512723,0.20036264732547598
