model,group,target,subject,hop,count,clean_accuracy,poisoned_accuracy,accuracy_drop,epr,flip_rate,flip_count,clean_correct,clean_margin_avg,poisoned_margin_avg,margin_change_avg
Qwen3.5-2B,hub,hub_1,Australia,d1,17,0.8235294117647058,0.47058823529411764,0.3529411764705882,0.42857142857142855,0.42857142857142855,6,14,3.6323529708144418,2.551470612086739,-1.0808823587277026
Qwen3.5-2B,hub,hub_1,Australia,d2,117,0.41025641025641024,0.3504273504273504,0.05982905982905984,0.14583333333333337,0.16666666666666666,8,48,3.160256429764434,3.2019230832754233,0.04166665351098908
Qwen3.5-2B,hub,hub_1,Australia,d3,528,0.35984848484848486,0.2859848484848485,0.07386363636363635,0.20526315789473681,0.24210526315789474,46,190,2.965909088902029,4.5794270800383305,1.6135179911363013
Qwen3.5-2B,hub,hub_1,Australia,d4,1000,0.326,0.309,0.017000000000000015,0.05214723926380373,0.13496932515337423,44,326,2.5613125023788887,4.338249997317169,1.77693749493828
Qwen3.5-2B,hub,hub_1,Australia,d5,1000,0.285,0.263,0.021999999999999964,0.07719298245614023,0.21403508771929824,61,285,2.8190000019182917,4.52818749896107,1.709187497042778
Qwen3.5-2B,hub,hub_10,Spain,d1,19,0.9473684210526315,0.10526315789473684,0.8421052631578947,0.8888888888888888,0.8888888888888888,16,18,4.881578957992851,1.4736841956251545,-3.407894762367696
Qwen3.5-2B,hub,hub_10,Spain,d2,76,0.39473684210526316,0.3026315789473684,0.09210526315789475,0.23333333333333336,0.26666666666666666,8,30,2.8832236944979646,2.287828932430497,-0.5953947620674676
Qwen3.5-2B,hub,hub_10,Spain,d3,368,0.26358695652173914,0.17119565217391305,0.09239130434782608,0.35051546391752575,0.4329896907216495,42,97,3.6141304213171837,2.1793478293877104,-1.4347825919294732
Qwen3.5-2B,hub,hub_10,Spain,d4,870,0.3482758620689655,0.21149425287356322,0.13678160919540228,0.3927392739273927,0.44224422442244227,134,303,2.751149423826645,1.9293103479548763,-0.8218390758717689
Qwen3.5-2B,hub,hub_10,Spain,d5,1000,0.387,0.231,0.156,0.40310077519379844,0.4625322997416021,179,387,3.0109374939570555,2.0366250004972097,-0.9743124934598457
Qwen3.5-2B,hub,hub_11,New York City,d1,13,1.0,0.46153846153846156,0.5384615384615384,0.5384615384615384,0.5384615384615384,7,13,5.884615367994859,1.6057692307692308,-4.278846137225628
Qwen3.5-2B,hub,hub_11,New York City,d2,108,0.3611111111111111,0.24074074074074073,0.12037037037037038,0.33333333333333337,0.48717948717948717,19,39,3.825231490154423,2.416087951105847,-1.4091435390485758
Qwen3.5-2B,hub,hub_11,New York City,d3,365,0.38082191780821917,0.2273972602739726,0.15342465753424656,0.40287769784172656,0.4028776978417266,56,139,2.3770547973614007,1.7080479512093205,-0.6690068461520802
Qwen3.5-2B,hub,hub_11,New York City,d4,1000,0.237,0.155,0.08199999999999999,0.3459915611814346,0.4472573839662447,106,237,2.9443750023816246,2.3291250062200417,-0.6152499961615829
Qwen3.5-2B,hub,hub_11,New York City,d5,1000,0.296,0.157,0.13899999999999998,0.46959459459459457,0.5337837837837838,158,296,3.1059999996183905,2.2378124985469623,-0.8681875010714282
Qwen3.5-2B,hub,hub_12,University of Cambridge,d1,16,0.375,0.3125,0.0625,0.16666666666666666,0.16666666666666666,1,6,3.796874946467142,1.4140625069849193,-2.3828124394822225
Qwen3.5-2B,hub,hub_12,University of Cambridge,d2,68,0.4411764705882353,0.3088235294117647,0.13235294117647056,0.29999999999999993,0.4,12,30,3.4981617748168956,1.6691176426761292,-1.8290441321407664
Qwen3.5-2B,hub,hub_12,University of Cambridge,d3,347,0.4697406340057637,0.2507204610951009,0.21902017291066284,0.46625766871165647,0.49079754601226994,80,163,3.0981628310431186,1.8024135375052712,-1.2957492935378474
Qwen3.5-2B,hub,hub_12,University of Cambridge,d4,1000,0.339,0.258,0.08100000000000002,0.23893805309734517,0.31563421828908556,107,339,3.0727499997013363,2.08625000378213,-0.9864999959192065
Qwen3.5-2B,hub,hub_12,University of Cambridge,d5,1000,0.249,0.187,0.062,0.24899598393574296,0.3333333333333333,83,249,2.7962499997533743,2.0184999977223343,-0.7777500020310399
Qwen3.5-2B,hub,hub_13,Harvard University,d1,11,0.5454545454545454,0.0,0.5454545454545454,1.0,1.0,6,6,3.124999978240918,6.806818037142379,3.681818058901461
Qwen3.5-2B,hub,hub_13,Harvard University,d2,77,0.5324675324675324,0.2857142857142857,0.24675324675324672,0.46341463414634143,0.4634146341463415,19,41,4.316558452800836,3.021915590905266,-1.2946428618955697
Qwen3.5-2B,hub,hub_13,Harvard University,d3,340,0.4823529411764706,0.36176470588235293,0.12058823529411766,0.25000000000000006,0.2621951219512195,43,164,2.9231617735352997,3.2327205903431606,0.3095588168078609
Qwen3.5-2B,hub,hub_13,Harvard University,d4,1000,0.316,0.236,0.08000000000000002,0.2531645569620254,0.3259493670886076,103,316,3.060562499507796,3.213937498366271,0.15337499885847494
Qwen3.5-2B,hub,hub_13,Harvard University,d5,1000,0.276,0.183,0.09300000000000003,0.3369565217391305,0.37681159420289856,104,276,3.006374996955652,2.895874997336856,-0.11049999961879609
Qwen3.5-2B,hub,hub_14,Apple Inc.,d1,12,0.5833333333333334,0.25,0.33333333333333337,0.5714285714285715,0.5714285714285714,4,7,3.822916642850032,4.307291606509049,0.48437496365901733
Qwen3.5-2B,hub,hub_14,Apple Inc.,d2,61,0.5573770491803278,0.2786885245901639,0.2786885245901639,0.5,0.5294117647058824,18,34,4.448770535239553,4.067622965975254,-0.38114756926429916
Qwen3.5-2B,hub,hub_14,Apple Inc.,d3,314,0.49363057324840764,0.39490445859872614,0.0987261146496815,0.19999999999999996,0.22580645161290322,35,155,2.7436305742661147,3.590963367061258,0.8473327927951435
Qwen3.5-2B,hub,hub_14,Apple Inc.,d4,1000,0.284,0.206,0.07799999999999999,0.27464788732394363,0.3485915492957746,99,284,3.043312500398606,4.246000000266452,1.2026874998678463
Qwen3.5-2B,hub,hub_14,Apple Inc.,d5,1000,0.312,0.185,0.127,0.40705128205128205,0.46794871794871795,146,312,2.892874998364685,3.7308749988138206,0.8380000004491355
