model,group,hop,n_targets,n_samples_total,n_clean_correct_total,flip_count_total,epr_weighted,flip_rate_weighted,clean_acc_weighted,poisoned_acc_raw_w,poisoned_acc_judge_w,clean_margin_w,margin_change_w
Qwen3.5-2B,hub,d1,10,207,187,102,0.5454545454545454,0.5454545454545454,0.9033816425120773,0.40096618357487923,0.45893719806763283,4.4912666594399235,-2.3439794152704208
Qwen3.5-2B,hub,d2,10,1252,589,167,0.2835314091680815,0.2835314091680815,0.4704472843450479,0.3506389776357827,0.36421725239616615,3.26133064532639,-0.3280826414827896
Qwen3.5-2B,hub,d3,10,5543,1674,646,0.3859020310633214,0.3859020310633214,0.3020025257081003,0.2000721630885802,0.2354320764928739,3.0600913526908537,0.4956183085349287
Qwen3.5-2B,hub,d4,10,9870,2982,952,0.3192488262910798,0.3192488262910798,0.3021276595744681,0.22502532928064842,0.2475177304964539,2.76733459895549,0.40103217613551445
Qwen3.5-2B,hub,d5,10,10000,3245,1128,0.34761171032357474,0.34761171032357474,0.3245,0.2322,0.2548,2.9122072604622837,0.45690872476100824
Qwen3.5-9B,hub,d1,10,207,186,158,0.8494623655913979,0.8494623655913979,0.8985507246376812,0.14492753623188406,0.14492753623188406,4.799940492325576,-2.2823700304389085
Qwen3.5-9B,hub,d2,10,1252,688,409,0.5944767441860465,0.5944767441860465,0.549520766773163,0.23242811501597443,0.26996805111821087,3.6085391157489135,-1.7710601370817418
Qwen3.5-9B,hub,d3,10,5543,2418,1149,0.47518610421836227,0.47518610421836227,0.43622587046725597,0.25112754825906547,0.2922605087497745,3.455172441107222,-1.5273371956043351
Qwen3.5-9B,hub,d4,10,9870,4152,1942,0.46772639691714835,0.46772639691714835,0.4206686930091185,0.24123606889564336,0.286322188449848,3.2380826919324415,-1.2195168522586028
Qwen3.5-9B,hub,d5,10,10000,4342,2234,0.5145094426531552,0.5145094426531552,0.4342,0.2327,0.2873,3.3824602291055843,-1.4132874396357968
Gemma-4-E4B-it,hub,d1,10,207,190,3,0.015789473684210527,0.015789473684210527,0.9178743961352657,0.9082125603864735,0.9082125603864735,7.798938957121963,-0.9978159656708309
Gemma-4-E4B-it,hub,d2,10,1252,598,35,0.05852842809364549,0.05852842809364549,0.4776357827476038,0.46405750798722045,0.5023961661341853,3.8788818649768997,-0.10157239409593521
