model,src_group,nbr_class,hop,n_eval,clean_correct,flip_count,epr,clean_margin,poisoned_margin,margin_change
Gemma-4-31B-it,hub,Hub,d1,207,190,108,0.5684,12.4044,3.7696,-8.6348
Gemma-4-31B-it,hub,Hub,d2,1115,644,172,0.2671,7.6417,2.7383,-4.9034
Gemma-4-31B-it,hub,Hub,d3,2319,1337,329,0.2461,8.7343,3.0812,-5.6531
Gemma-4-31B-it,hub,Hub,d4,5300,2882,692,0.2401,7.7130,3.0622,-4.6508
Gemma-4-31B-it,hub,Hub,d5,5696,3336,887,0.2659,8.0654,3.0635,-5.0018
Gemma-4-31B-it,hub,Mid,d2,133,91,28,0.3077,10.2605,2.9789,-7.2816
Gemma-4-31B-it,hub,Mid,d3,3099,1268,265,0.2090,7.3699,3.3640,-4.0059
Gemma-4-31B-it,hub,Mid,d4,4007,1329,296,0.2227,5.8760,2.9400,-2.9360
Gemma-4-31B-it,hub,Mid,d5,4024,1306,273,0.2090,6.4781,3.1678,-3.3103
Gemma-4-31B-it,hub,Tail,d2,4,4,3,0.7500,9.1563,1.3281,-7.8281
Gemma-4-31B-it,hub,Tail,d3,125,34,7,0.2059,6.2580,2.8605,-3.3975
Gemma-4-31B-it,hub,Tail,d4,563,150,41,0.2733,4.9813,2.8905,-2.0908
Gemma-4-31B-it,hub,Tail,d5,280,53,10,0.1887,5.0884,3.2920,-1.7964
Gemma-4-31B-it,random,Hub,d2,292,230,44,0.1913,11.2595,4.2224,-7.0371
Gemma-4-31B-it,random,Hub,d3,1535,913,118,0.1292,8.1180,3.8381,-4.2799
Gemma-4-31B-it,random,Hub,d4,4135,2438,307,0.1259,8.2555,3.9139,-4.3416
Gemma-4-31B-it,random,Hub,d5,5258,3025,501,0.1656,8.0873,3.8458,-4.2415
Gemma-4-31B-it,random,Mid,d1,52,11,3,0.2727,5.6983,3.2993,-2.3990
Gemma-4-31B-it,random,Mid,d2,66,28,3,0.1071,6.8002,3.9470,-2.8532
Gemma-4-31B-it,random,Mid,d3,382,184,23,0.1250,8.3026,3.7894,-4.5132
Gemma-4-31B-it,random,Mid,d4,2835,1207,167,0.1384,7.6602,4.0650,-3.5953
Gemma-4-31B-it,random,Mid,d5,4383,1601,235,0.1468,6.9302,3.9316,-2.9986
Gemma-4-31B-it,random,Tail,d1,6,1,1,1.0000,5.8229,3.8437,-1.9792
Gemma-4-31B-it,random,Tail,d2,2,2,0,0.0000,0.5625,0.5625,-0.0000
Gemma-4-31B-it,random,Tail,d3,23,9,3,0.3333,4.8533,3.1549,-1.6984
