mode,group,target,hop,n,cc,flip,epr,dmargin
none,hub,hub_1,d1,17,15,14,0.9333333333333333,3.661764645229756
none,hub,hub_1,d2,117,56,39,0.6964285714285714,-0.21153841366272264
none,hub,hub_1,d3,528,246,191,0.7764227642276422,-0.7181581428701451
none,hub,hub_1,d4,1000,414,282,0.6811594202898551,0.09599999265343649
none,hub,hub_1,d5,1000,421,250,0.5938242280285035,-0.6276250068087175
none,hub,hub_4,d1,15,15,15,1.0,-3.1750000028366534
none,hub,hub_4,d2,117,57,52,0.9122807017543859,-1.2441239344077006
none,hub,hub_4,d3,614,263,178,0.6768060836501901,-1.6553338724833626
none,hub,hub_4,d4,1000,433,338,0.7806004618937644,-1.4966249996746264
none,hub,hub_4,d5,1000,374,264,0.7058823529411765,-1.8016874948025943
none,hub,hub_5,d1,23,21,21,1.0,-0.9184782583134897
none,hub,hub_5,d2,147,78,73,0.9358974358974359,-1.2057823053514427
none,hub,hub_5,d3,614,246,217,0.8821138211382114,-1.0007125405404207
none,hub,hub_5,d4,1000,384,304,0.7916666666666666,-1.228875000416956
none,hub,hub_5,d5,1000,442,353,0.7986425339366516,-1.7785000007068192
none,hub,hub_10,d1,19,18,18,1.0,-2.006579043245629
none,hub,hub_10,d2,76,37,33,0.8918918918918919,-1.9654605628275021
none,hub,hub_10,d3,368,152,131,0.8618421052631579,-1.4459918374326188
none,hub,hub_10,d4,870,397,318,0.801007556675063,-1.0540948284421063
none,hub,hub_10,d5,1000,460,305,0.6630434782608695,-1.7282500042388638
none,hub,hub_3,d1,28,23,13,0.5652173913043478,-2.200892849833638
none,hub,hub_3,d2,205,117,88,0.7521367521367521,-1.4402438926777417
none,hub,hub_3,d3,954,434,222,0.511520737327189,-2.035115308225699
none,hub,hub_3,d4,1000,418,250,0.5980861244019139,-1.9236250061660831
none,hub,hub_3,d5,1000,436,310,0.7110091743119266,-1.7444999984936875
none,hub,hub_6,d1,19,16,16,1.0,-3.4210526550534843
none,hub,hub_6,d2,94,75,72,0.96,-2.6768617033444473
none,hub,hub_6,d3,558,241,135,0.5601659751037344,-1.8758960528268231
none,hub,hub_6,d4,1000,399,278,0.6967418546365914,-1.695250001121458
none,hub,hub_6,d5,1000,494,348,0.7044534412955465,-1.959187497190942
none,hub,hub_11,d1,13,13,11,0.8461538461538461,-3.038461481561311
none,hub,hub_11,d2,108,52,29,0.5576923076923077,-1.9305555306393083
none,hub,hub_11,d3,365,201,129,0.6417910447761194,-1.1979452056695439
none,hub,hub_11,d4,1000,408,175,0.42892156862745096,-1.8490000028761862
none,hub,hub_11,d5,1000,419,256,0.6109785202863962,-2.1861875029832882
none,tail,tail_3,d1,1,1,1,1.0,-2.62499977927655
none,tail,tail_3,d2,23,21,18,0.8571428571428571,-3.9619565253378823
none,tail,tail_3,d3,147,78,71,0.9102564102564102,-1.1632653140454223
none,tail,tail_3,d4,614,244,199,0.8155737704918032,-1.6781351803414692
none,tail,tail_3,d5,1000,383,276,0.720626631853786,-1.082937501442575
none,tail,tail_4,d1,1,0,0,,5.00000046484638
none,tail,tail_4,d2,23,21,20,0.9523809523809523,-1.2282608867086389
none,tail,tail_4,d3,147,78,72,0.9230769230769231,-1.6794217660532929
none,tail,tail_4,d4,614,244,203,0.8319672131147541,-1.9068607580085128
none,tail,tail_4,d5,1000,374,314,0.839572192513369,-1.4312500006956979
none,tail,tail_1,d1,1,1,1,1.0,-2.249999967869371
none,tail,tail_1,d2,28,23,14,0.6086956521739131,-3.214285702505939
none,tail,tail_1,d3,205,117,104,0.8888888888888888,-0.5951219495356072
none,tail,tail_1,d4,954,434,310,0.7142857142857143,-2.2238600645528503
none,tail,tail_1,d5,1000,418,321,0.7679425837320574,-2.137125001885783
none,random,random_10,d1,4,1,1,1.0,1.4687500481959432
none,random,random_10,d2,41,30,29,0.9666666666666667,-0.9390244117537627
