model,group,target,subject,hop,count,clean_correct,flip_count,flip_rate,epr,clean_acc,poisoned_acc_raw,poisoned_acc_judge,clean_margin_avg,poisoned_margin_avg,margin_change_avg
Qwen3.5-2B,hub,hub_3,United States,d1,28,24,17,0.7083333333333334,0.7083333333333334,0.8571428571428571,0.25,0.25,4.968750036562726,1.613839270630186,-3.3549107659325403
Qwen3.5-2B,hub,hub_3,United States,d2,205,98,89,0.9081632653061225,0.9081632653061225,0.47804878048780486,0.04390243902439024,0.04390243902439024,2.7737804929867798,2.076524388174549,-0.6972561048122304
Qwen3.5-2B,hub,hub_3,United States,d3,954,279,220,0.7885304659498208,0.7885304659498208,0.29245283018867924,0.0649895178197065,0.06708595387840671,3.207023058522581,1.7955319749570255,-1.4114910835655554
Qwen3.5-2B,hub,hub_3,United States,d4,1000,296,248,0.8378378378378378,0.8378378378378378,0.296,0.05,0.055,3.1332499992158263,1.9628125047706417,-1.1704374944451847
Qwen3.5-2B,hub,hub_3,United States,d5,1000,331,292,0.8821752265861027,0.8821752265861027,0.331,0.037,0.042,3.0193749994967947,1.8538124987486955,-1.1655625007480994
Qwen3.5-9B,hub,hub_3,United States,d1,28,23,14,0.6086956521739131,0.6086956521739131,0.8214285714285714,0.35714285714285715,0.35714285714285715,5.013392852261729,2.2276785924831137,-2.785714259778615
Qwen3.5-9B,hub,hub_3,United States,d2,205,117,80,0.6837606837606838,0.6837606837606838,0.5707317073170731,0.18048780487804877,0.1902439024390244,3.1969512143828225,1.8542682905289594,-1.3426829238538631
Qwen3.5-9B,hub,hub_3,United States,d3,954,434,240,0.5529953917050692,0.5529953917050692,0.4549266247379455,0.22955974842767296,0.23689727463312368,3.863011007312968,1.849384170503024,-2.0136268368099444
Qwen3.5-9B,hub,hub_3,United States,d4,1000,418,270,0.645933014354067,0.645933014354067,0.418,0.148,0.161,3.768937502627872,1.713687499976426,-2.055250002651446
Qwen3.5-9B,hub,hub_3,United States,d5,1000,436,313,0.7178899082568807,0.7178899082568807,0.436,0.118,0.136,3.5768125013188548,1.8418125009594368,-1.7350000003594177
Gemma-4-E4B-it,hub,hub_3,United States,d1,28,24,0,0.0,0.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,8.232142750982673,7.439732178975776,-0.7924105720068967
Gemma-4-E4B-it,hub,hub_3,United States,d2,205,95,8,0.08421052631578947,0.08421052631578947,0.4634146341463415,0.4292682926829268,0.43414634146341463,3.1969512182909434,3.481097563285744,0.2841463449948007
Gemma-4-E4B-it,hub,hub_3,United States,d3,954,288,53,0.1840277777777778,0.1840277777777778,0.3018867924528302,0.279874213836478,0.2830188679245283,3.8821409832304727,4.532593032296456,0.650452049065983
Gemma-4-E4B-it,hub,hub_3,United States,d4,1000,295,22,0.07457627118644068,0.07457627118644068,0.295,0.277,0.284,4.837874991229198,5.528218757313241,0.6903437660840437
Gemma-4-E4B-it,hub,hub_3,United States,d5,1000,349,21,0.06017191977077364,0.06017191977077364,0.349,0.333,0.344,4.262374990599546,4.9939374935630525,0.7315625029635067
Gemma-4-31B-it,hub,hub_3,United States,d1,28,24,6,0.25,0.25,0.8571428571428571,0.6428571428571429,0.6428571428571429,14.00892848773267,2.1495535887578234,-11.859374898974846
Gemma-4-31B-it,hub,hub_3,United States,d2,205,123,35,0.2845528455284553,0.2845528455284553,0.6,0.44878048780487806,0.45365853658536587,7.528963359660975,2.5676829365879246,-4.961280423073049
Gemma-4-31B-it,hub,hub_3,United States,d3,954,495,82,0.16565656565656567,0.16565656565656567,0.5188679245283019,0.46226415094339623,0.46855345911949686,9.019187257569271,2.9114255805604254,-6.1077616770088445
Gemma-4-31B-it,hub,hub_3,United States,d4,1000,438,125,0.2853881278538813,0.2853881278538813,0.438,0.332,0.34,7.279167937930339,2.3848750003364403,-4.894292937593902
