model,target,hub_flip,tail_flip,diff_hub_minus_tail
Qwen3.5-2B,hub_1,0.1498,0.1000,+0.0498
Qwen3.5-2B,hub_10,0.4736,0.5556,-0.0820
Qwen3.5-2B,hub_11,0.4911,0.6154,-0.1243
Qwen3.5-2B,hub_12,0.3692,0.1667,+0.2026
Qwen3.5-2B,hub_13,0.3257,0.6667,-0.3409
Qwen3.5-2B,hub_14,0.3854,0.3333,+0.0520
Qwen3.5-2B,hub_15,0.4441,0.2857,+0.1584
Qwen3.5-2B,hub_2,0.3557,0.7143,-0.3586
Qwen3.5-2B,hub_3,0.8661,0.7917,+0.0745
Qwen3.5-2B,hub_4,0.1529,0.1538,-0.0009
Qwen3.5-2B,hub_5,0.1805,0.2857,-0.1052
Qwen3.5-2B,hub_6,0.1830,0.2667,-0.0837
Qwen3.5-2B,hub_7,0.2790,0.4167,-0.1376
Qwen3.5-2B,hub_8,0.1860,0.2000,-0.0140
Qwen3.5-2B,hub_9,0.4009,0.3077,+0.0932
Qwen3.5-2B,random_1,0.3059,0.6667,-0.3608
Qwen3.5-2B,random_10,0.5079,0.6667,-0.1588
Qwen3.5-2B,random_11,0.3198,0.4615,-0.1417
Qwen3.5-2B,random_12,0.6347,0.6000,+0.0347
Qwen3.5-2B,random_13,0.1759,0.1667,+0.0092
Qwen3.5-2B,random_14,0.1801,0.2000,-0.0199
Qwen3.5-2B,random_15,0.4265,0.2500,+0.1765
Qwen3.5-2B,random_2,0.6145,0.8000,-0.1855
Qwen3.5-2B,random_3,0.4845,0.1333,+0.3512
Qwen3.5-2B,random_4,0.5281,0.1333,+0.3947
Qwen3.5-2B,random_5,0.2266,0.1250,+0.1016
Qwen3.5-2B,random_7,0.1994,0.5000,-0.3006
Qwen3.5-2B,random_8,0.3480,0.6000,-0.2520
Qwen3.5-2B,random_9,0.2322,0.3333,-0.1011
Qwen3.5-2B,tail_1,0.4430,0.6000,-0.1570
Qwen3.5-2B,tail_10,0.4244,0.1667,+0.2578
Qwen3.5-2B,tail_13,0.2647,0.2308,+0.0339
Qwen3.5-2B,tail_3,0.2923,0.5833,-0.2910
Qwen3.5-2B,tail_4,0.4672,0.4167,+0.0506
Qwen3.5-2B,tail_5,0.2137,0.2222,-0.0085
Qwen3.5-2B,tail_7,0.1720,0.3529,-0.1809
Qwen3.5-2B,tail_8,0.3944,0.5455,-0.1511
Qwen3.5-2B,tail_9,0.5289,0.1667,+0.3622
Qwen3.5-9B,hub_1,0.4654,0.5833,-0.1180
Qwen3.5-9B,hub_10,0.6094,0.4783,+0.1311
Qwen3.5-9B,hub_11,0.5371,0.3333,+0.2038
Qwen3.5-9B,hub_12,0.7307,0.6667,+0.0640
Qwen3.5-9B,hub_13,0.8122,0.6364,+0.1758
Qwen3.5-9B,hub_14,0.8539,0.9545,-0.1007
Qwen3.5-9B,hub_15,0.3727,0.4762,-0.1035
Qwen3.5-9B,hub_2,0.6069,0.9091,-0.3022
Qwen3.5-9B,hub_3,0.6962,0.7188,-0.0225
Qwen3.5-9B,hub_4,0.5271,0.5000,+0.0271
Qwen3.5-9B,hub_5,0.6499,0.4783,+0.1717
Qwen3.5-9B,hub_6,0.7033,0.5714,+0.1319
Qwen3.5-9B,hub_7,0.3496,0.3810,-0.0313
Qwen3.5-9B,hub_8,0.3582,0.3667,-0.0084
Qwen3.5-9B,hub_9,0.4608,0.5882,-0.1275
Qwen3.5-9B,random_1,0.5859,0.6364,-0.0505
Qwen3.5-9B,random_10,0.5784,0.6154,-0.0369
Qwen3.5-9B,random_11,0.5385,0.7826,-0.2441
Qwen3.5-9B,random_12,0.3607,0.3077,+0.0530
Qwen3.5-9B,random_13,0.5045,0.5000,+0.0045
Qwen3.5-9B,random_14,0.4757,0.1667,+0.3090
Qwen3.5-9B,random_15,0.4595,0.5333,-0.0739
Qwen3.5-9B,random_2,0.5577,0.5714,-0.0137
Qwen3.5-9B,random_3,0.4979,0.4762,+0.0217
Qwen3.5-9B,random_4,0.5747,0.3500,+0.2247
Qwen3.5-9B,random_5,0.6678,0.7222,-0.0544
Qwen3.5-9B,random_7,0.5621,0.3810,+0.1812
Qwen3.5-9B,random_8,0.4979,0.5714,-0.0735
Qwen3.5-9B,random_9,0.4646,0.7143,-0.2497
Qwen3.5-9B,tail_1,0.5281,0.4615,+0.0666
Qwen3.5-9B,tail_10,0.3694,0.1818,+0.1876
Qwen3.5-9B,tail_11,0.1614,0.2000,-0.0386
Qwen3.5-9B,tail_13,0.7284,1.0000,-0.2716
Qwen3.5-9B,tail_2,0.5942,0.1667,+0.4275
Qwen3.5-9B,tail_3,0.5093,0.5263,-0.0171
Qwen3.5-9B,tail_4,0.5768,0.6000,-0.0232
Qwen3.5-9B,tail_5,0.2678,0.3750,-0.1072
Qwen3.5-9B,tail_7,0.5603,0.4138,+0.1465
Qwen3.5-9B,tail_8,0.6809,0.4091,+0.2718
Qwen3.5-9B,tail_9,0.4541,0.3636,+0.0905
Gemma-4-E4B-it,hub_1,0.0673,0.0000,+0.0673
Gemma-4-E4B-it,hub_10,0.0561,0.4000,-0.3439
Gemma-4-E4B-it,hub_11,0.1104,0.0000,+0.1104
Gemma-4-E4B-it,hub_12,0.0740,0.0000,+0.0740
Gemma-4-E4B-it,hub_13,0.0942,0.2500,-0.1558
Gemma-4-E4B-it,hub_14,0.0690,0.1667,-0.0976
