head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
SpaceX,Elon Musk,CurrentEmployer,d1,0.7185943722724915,0,0.3029385805130005,100,0.4156557917594909,-100
SpaceX,United States,CountryOfIncorporation,d1,1.0,0,0.222700148820877,50,0.7772998511791229,-50
SpaceX,United States Dollar,CurrencyPrimary,d1,0.5,0,0.1329642385244369,0,0.367035761475563,0
SpaceX,Not publicly traded,StockExchangePrimary,d1,0.6513549089431763,0,0.4225046336650848,0,0.2288502752780914,0
SpaceX,English,OfficialLanguagePrimary,d1,1.0,100,1.0,100,0.0,0
SpaceX,Space Exploration Technologies Corp.,ParentOrganization,d1,0.5,0,0.5,0,0.0,0
SpaceX,2002,FoundingDate,d1,0.4225046336650848,100,0.4225046336650848,100,0.0,0
SpaceX,Hawthorne,HeadquartersCity,d1,1.0,100,1.0,100,0.0,0
Tech Company,Elon Musk,CurrentEmployer,d1,0.4225046336650848,0,0.5,0,-0.0774953663349151,0
SpaceX,Aerospace,MajorIndustryPrimary,d1,0.6513549089431763,100,1.0,100,-0.3486450910568237,0
United States,English,OfficialLanguagePrimary,d1,0.2608246207237243,100,0.8670357465744019,100,-0.6062111258506775,0
United States,United States Dollar,CurrencyPrimary,d1,1.0,50,1.0,0,0.0,50
SpaceX,United States,CountryOfIncorporation,d0,1.0,0,0.1341533809900283,100,0.8658466190099716,-100
Not publicly traded,USD,CurrencyPrimary,d2,1.0,0,0.715095043182373,100,0.2849049568176269,-100
English,Language,CurrentPosition,d2,0.1821379959583282,0,0.222700148820877,100,-0.0405621528625488,-100
Harvard Law School,Cambridge,HeadquartersCity,d2,0.7185943722724915,0,0.7772998809814453,100,-0.0587055087089538,-100
Elon Musk,1971-06-28,BirthDate,d2,0.7772998809814453,0,1.0,100,-0.2227001190185547,-100
Elon Musk,South Africa,NationalityPrimary,d2,1.0,0,0.222700148820877,50,0.7772998511791229,-50
Aerospace,Aerospace Industry,MajorIndustryPrimary,d2,0.7772998809814453,0,0.4765461087226867,50,0.3007537722587585,-50
Hawthorne,Short Story Writer,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
Hawthorne,Novelist,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
Author,Novelist,CurrentPosition,d2,1.0,0,0.0,0,1.0,0
United States,1776,FoundingDate,d2,1.0,100,0.0908169373869896,100,0.9091830626130104,0
English,British Council,CurrentEmployer,d2,1.0,100,0.1065068766474723,100,0.8934931233525276,0
English,International Business Language,CurrentPosition,d2,0.8267117738723755,0,0.0,0,0.8267117738723755,0
Space Exploration Technologies Corp.,"SpaceX Services, Inc.",ParentOrganization,d2,1.0,0,0.1989810466766357,0,0.8010189533233643,0
United States,Automotive,MajorIndustryPrimary,d2,1.0,0,0.2068701237440109,0,0.7931298762559891,0
Not publicly traded,Private Company,CurrentEmployer,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
English,Oxford University Press,CurrentEmployer,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
Fiat Currency,Legal Tender,CurrentPosition,d2,0.7772998809814453,0,0.0,0,0.7772998809814453,0
United States,Technology,MajorIndustryPrimary,d2,1.0,0,0.222700148820877,0,0.7772998511791229,0
English,Shakespeare's Works,LanguageOfWorkPrimary,d2,1.0,0,0.2585151195526123,0,0.7414848804473877,0
English,Language of Science,CurrentPosition,d2,1.0,0,0.2608246207237243,0,0.7391753792762756,0
United States,Sports,MajorIndustryPrimary,d2,1.0,0,0.3416622579097748,0,0.6583377420902252,0
2002,Year 2002,CurrentPosition,d2,1.0,0,0.3486451506614685,0,0.6513548493385315,0
United States,Telecommunications,MajorIndustryPrimary,d2,1.0,0,0.3568703234195709,0,0.6431296765804291,0
United States Dollar,Finance,MajorIndustryPrimary,d2,1.0,100,0.3944366574287414,100,0.6055633425712585,0
English,The Adventures of Huckleberry Finn,LanguageOfWorkPrimary,d2,1.0,0,0.4131373167037964,0,0.5868626832962036,0
Elon Musk,CEO,CurrentPosition,d2,1.0,100,0.4373487532138824,100,0.5626512467861176,0
United States,Joe Biden,CurrentEmployer,d2,1.0,0,0.4481017291545868,0,0.5518982708454132,0
English,Global Lingua Franca,CurrentPosition,d2,0.4373487532138824,0,0.0,0,0.4373487532138824,0
2002,US Dollar,CurrencyPrimary,d2,0.7772998809814453,100,0.3486451506614685,100,0.4286547303199768,0
Aerospace,Aerospace Engineer,CurrentPosition,d2,0.7772998809814453,0,0.3486451506614685,0,0.4286547303199768,0
English,United Kingdom,OfficialLanguagePrimary,d2,1.0,0,0.6026865839958191,0,0.3973134160041809,0
United States Dollar,1792,FoundingDate,d2,0.7391753792762756,100,0.3486451506614685,100,0.3905302286148071,0
Hawthorne,Author,CurrentPosition,d2,0.3029450178146362,0,0.0,0,0.3029450178146362,0
Powhatan Confederacy,Agriculture,MajorIndustryPrimary,d2,0.7185943722724915,100,0.4373487532138824,100,0.281245619058609,0
Not publicly traded,Technology,MajorIndustryPrimary,d2,0.5,0,0.222700148820877,0,0.2772998511791229,0
2002,"January 1, 2002",OccursOn,d2,1.0,0,0.7652807235717773,0,0.2347192764282226,0
Not publicly traded,San Francisco,HeadquartersCity,d2,1.0,0,0.7772998809814453,0,0.2227001190185547,0
United States,Apple Inc.,CountryOfIncorporation,d2,1.0,0,0.7772998809814453,0,0.2227001190185547,0
1956,USA,CountryOfCity,d2,0.5774953961372375,0,0.4225046336650848,0,0.1549907624721527,0
2002,USA,CountryOfCity,d2,0.3486451506614685,0,0.1965080052614212,0,0.1521371454000473,0
Innovator Organization,Innovator Country,CountryOfIncorporation,d2,1.0,0,0.9241418242454528,0,0.0758581757545471,0
Hawthorne,Bowdoin College,AlmaMaterPrimary,d2,0.5058997869491577,100,0.4411354959011078,100,0.0647642910480499,0
Natural Resources,Earth,BirthPlace,d2,0.5,0,0.4955106079578399,0,0.00448939204216,0
United States Dollar,"Washington, D.C.",HeadquartersCity,d2,1.0,100,1.0,100,0.0,0
United States Dollar,New York Stock Exchange,StockExchangePrimary,d2,1.0,100,1.0,100,0.0,0
United States Dollar,Federal Reserve,CurrentEmployer,d2,0.222700148820877,100,0.222700148820877,100,0.0,0
United States Dollar,Legal Tender,CurrentPosition,d2,0.0,0,0.0,0,0.0,0
Aerospace,Boeing,ParentOrganization,d2,1.0,0,1.0,0,0.0,0
United States,"Washington, D.C.",CapitalCityOfCountry,d2,1.0,100,1.0,100,0.0,0
United States,Philadelphia,BirthPlace,d2,1.0,100,1.0,100,0.0,0
Parent Company ABC,University of Technology,AlmaMaterPrimary,d2,1.0,0,1.0,0,0.0,0
1835-11-30,Author,CurrentPosition,d2,0.0,0,0.0,0,0.0,0
United States,North America,Continent,d2,0.6513549089431763,100,0.7336937785148621,100,-0.0823388695716857,0
Elon Musk,Pretoria,BirthPlace,d2,0.7185943722724915,100,0.9241418242454528,100,-0.2055474519729614,0
Red Hat,CEO,CurrentPosition,d2,0.0,0,0.3169822692871094,0,-0.3169822692871094,0
Hawthorne,Literary World,CurrentEmployer,d2,0.6513549089431763,0,1.0,0,-0.3486450910568237,0
Hawthorne,Romanticism Movement,CurrentEmployer,d2,0.5,0,0.8670357465744019,0,-0.3670357465744018,0
National Breadstick Day,National Breadstick Day Committee,HostOrganizationPrimary,d2,0.4481017291545868,0,0.8267117738723755,0,-0.3786100447177887,0
Hawthorne,1804,BirthDate,d2,0.2814055979251861,100,0.7185943722724915,100,-0.4371887743473053,0
United States Dollar,U.S. Department of the Treasury,ParentOrganization,d2,0.5,0,1.0,0,-0.5,0
Elon Musk,University of Pennsylvania,AlmaMaterPrimary,d2,0.222700148820877,0,0.7772998809814453,0,-0.5545997321605682,0
US Dollar,Reserve Currency,CurrentPosition,d2,0.0,0,0.6513549089431763,0,-0.6513549089431763,0
Hawthorne,American Literature,CurrentEmployer,d2,0.222700148820877,0,1.0,0,-0.7772998511791229,0
Standard Time,Canada,CountryOfCity,d2,0.222700148820877,100,1.0,100,-0.7772998511791229,0
Dollar,East Timor,CurrencyPrimary,d2,0.222700148820877,0,1.0,0,-0.7772998511791229,0
