node,degree_centrality,pagerank,betweenness_centrality
SpaceX,0.002036659877800407,0.0001754997778146737,0.0
Elon Musk,0.0015840687938447613,0.00024174709330318484,4.609913711635146e-06
Not publicly traded,0.001131477709889115,0.00019206160668680148,2.0488505385045092e-07
United States Dollar,0.002036659877800407,0.0002046181646585795,3.150107702950683e-06
English,0.0024892509617560534,0.0002046181646585795,2.6635057000558617e-06
Space Exploration Technologies Corp.,0.00045259108395564606,0.00019206160668680148,5.122126346261273e-08
2002,0.001131477709889115,0.00019206160668680148,2.8171694904437003e-07
Aerospace,0.0009051821679112921,0.00019206160668680148,3.585488442382891e-07
Hawthorne,0.002036659877800407,0.00019206160668680148,6.146551615513527e-07
United States,0.0031681375876895226,0.00019206160668680148,4.353807394322082e-06
Tech Company,0.0006788866259334691,0.0001754997778146737,0.0
CEO,0.0006788866259334691,0.0002464653967815052,2.0488505385045092e-07
South Africa,0.00226295541977823,0.00021665410481167517,2.9196120173689255e-06
University of Pennsylvania,0.001131477709889115,0.00021665410481167517,1.69030169426622e-06
Pretoria,0.0015840687938447613,0.00021665410481167517,1.3829741134905436e-06
1971-06-28,0.00022629554197782303,0.00021665410481167517,0.0
Private Company,0.00022629554197782303,0.00021630859122295229,0.0
San Francisco,0.00022629554197782303,0.00021630859122295229,0.0
USD,0.00022629554197782303,0.00021630859122295229,0.0
Technology,0.0006788866259334691,0.00022886514919473033,1.5366379038783817e-07
"Washington, D.C.",0.0006788866259334691,0.0002129032677053112,9.219827423270291e-07
New York Stock Exchange,0.0006788866259334691,0.00020034670973353316,4.6099137116351457e-07
Federal Reserve,0.00022629554197782303,0.00020034670973353316,0.0
1792,0.002036659877800407,0.00020034670973353316,1.3829741134905436e-06
Legal Tender,0.0009051821679112921,0.0003494031695826833,1.0244252692522546e-06
Finance,0.0006788866259334691,0.00020034670973353316,6.146551615513527e-07
U.S. Department of the Treasury,0.00045259108395564606,0.00020034670973353316,3.0732758077567635e-07
British Council,0.00045259108395564606,0.00019482516930711992,1.8439654846540583e-06
Language of Science,0.00045259108395564606,0.00019482516930711992,1.5366379038783817e-07
Shakespeare's Works,0.0006788866259334691,0.00019482516930711992,6.146551615513527e-07
Oxford University Press,0.00022629554197782303,0.00019482516930711992,0.0
The Adventures of Huckleberry Finn,0.00022629554197782303,0.00019482516930711992,0.0
Language,0.00022629554197782303,0.00019482516930711992,0.0
Global Lingua Franca,0.00022629554197782303,0.00019482516930711992,0.0
United Kingdom,0.00022629554197782303,0.00019482516930711992,0.0
International Business Language,0.00022629554197782303,0.00019482516930711992,0.0
"SpaceX Services, Inc.",0.00022629554197782303,0.00033873503144778817,0.0
US Dollar,0.0006788866259334691,0.00022886514919473033,6.146551615513527e-07
Year 2002,0.00022629554197782303,0.00021630859122295229,0.0
"January 1, 2002",0.00022629554197782303,0.00021630859122295229,0.0
USA,0.00045259108395564606,0.00029083682114752735,0.0
Aerospace Industry,0.00022629554197782303,0.00022991152902571184,0.0
Aerospace Engineer,0.00022629554197782303,0.00022991152902571184,0.0
Boeing,0.001131477709889115,0.00022991152902571184,4.0977010770090183e-07
Bowdoin College,0.00022629554197782303,0.000195904184518813,0.0
Author,0.0015840687938447613,0.00022571547648864303,6.658764250139654e-07
Short Story Writer,0.00022629554197782303,0.000195904184518813,0.0
1804,0.00022629554197782303,0.000195904184518813,0.0
Novelist,0.00045259108395564606,0.0002342951549355133,0.0
American Literature,0.00022629554197782303,0.000195904184518813,0.0
Literary World,0.00022629554197782303,0.000195904184518813,0.0
Romanticism Movement,0.00022629554197782303,0.000195904184518813,0.0
Sports,0.00022629554197782303,0.00018805633578645173,0.0
Joe Biden,0.0009051821679112921,0.00018805633578645173,6.453879196289204e-06
North America,0.00045259108395564606,0.00018805633578645173,1.0244252692522546e-07
Telecommunications,0.0009051821679112921,0.00018805633578645173,3.0732758077567635e-07
Philadelphia,0.00045259108395564606,0.00018805633578645173,2.0488505385045092e-07
Apple Inc.,0.00045259108395564606,0.00018805633578645173,1.0244252692522546e-07
1776,0.00022629554197782303,0.00018805633578645173,0.0
Automotive,0.00022629554197782303,0.00018805633578645173,0.0
Red Hat,0.001131477709889115,0.0001754997778146737,0.0
Innovator Organization,0.0009051821679112921,0.0001754997778146737,0.0
Innovator Country,0.00022629554197782303,0.00021276389277696123,0.0
Harvard Law School,0.00022629554197782303,0.0001754997778146737,0.0
Cambridge,0.00022629554197782303,0.00032455623766382383,0.0
National Breadstick Day,0.0009051821679112921,0.0001754997778146737,0.0
National Breadstick Day Committee,0.0018103643358225842,0.00021276389277696123,3.585488442382891e-07
Standard Time,0.0006788866259334691,0.0001754997778146737,0.0
Canada,0.00022629554197782303,0.00022518526443105705,0.0
Powhatan Confederacy,0.0015840687938447613,0.0001754997778146737,0.0
Agriculture,0.0006788866259334691,0.0001967935577931237,1.0244252692522546e-07
Natural Resources,0.00045259108395564606,0.0001754997778146737,0.0
Earth,0.0006788866259334691,0.0002500280077392487,4.0977010770090183e-07
Parent Company ABC,0.00045259108395564606,0.0001754997778146737,0.0
University of Technology,0.0006788866259334691,0.0002500280077392487,4.6099137116351457e-07
1835-11-30,0.001131477709889115,0.0001754997778146737,0.0
Dollar,0.00022629554197782303,0.0001754997778146737,0.0
East Timor,0.00022629554197782303,0.00032455623766382383,0.0
Fiat Currency,0.00022629554197782303,0.0001754997778146737,0.0
Reserve Currency,0.0009051821679112921,0.000370002634309157,6.146551615513527e-07
1956,0.00045259108395564606,0.0001754997778146737,0.0
Chief Executive Officer,0.00045259108395564606,0.0005337790457992823,0.0
Twitter,0.00045259108395564606,0.0001754997778146737,0.0
None,0.00045259108395564606,0.0002997134943556321,0.0
Social Media,0.00045259108395564606,0.0002997134943556321,0.0
Innovative Team,0.00022629554197782303,0.00022518526443105705,0.0
John Doe,0.00045259108395564606,0.0002624493793933446,0.0
1910,0.00045259108395564606,0.0002455964843559818,0.0
South African Government,0.00045259108395564606,0.00022572228970942846,0.0
President,0.00045259108395564606,0.00027043922766417357,0.0
Africa,0.0009051821679112921,0.00019591099773959842,6.146551615513527e-07
South Africa Standard Time,0.00045259108395564606,0.00022652782762698555,0.0
Afrikaans,0.00226295541977823,0.00022652782762698555,2.0488505385045093e-06
South African Rand,0.00045259108395564606,0.00022572228970942846,0.0
Democratic Republic,0.0013577732518669382,0.00027043922766417357,1.0244252692522546e-06
Zulu,0.00022629554197782303,0.00019591099773959842,0.0
1740,0.00022629554197782303,0.00022142502264575436,0.0
Ivy League,0.00022629554197782303,0.00022142502264575436,0.0
Benjamin Franklin,0.0018103643358225842,0.00022142502264575436,1.4341953769531564e-06
Amy Gutmann,0.00022629554197782303,0.00022142502264575436,0.0
Department of International Relations and Cooperation,0.00022629554197782303,0.0002061166077020608,0.0
City of Tshwane Metropolitan Municipality,0.00022629554197782303,0.0002061166077020608,0.0
Union Buildings,0.00022629554197782303,0.0002061166077020608,0.0
Administrative Capital,0.00022629554197782303,0.0002061166077020608,0.0
"Twitter, Inc.",0.00022629554197782303,0.0001754997778146737,0.0
X Corp.,0.00022629554197782303,0.00032455623766382383,0.0
Innovator,0.00022629554197782303,0.000370002634309157,0.0
"Scranton, Pennsylvania",0.00022629554197782303,0.0001754997778146737,0.0
Manufacturing,0.00022629554197782303,0.00032455623766382383,0.0
Services,0.0006788866259334691,0.0001754997778146737,0.0
1989,0.0006788866259334691,0.00022518526443105705,1.0244252692522546e-07
Service Corporation International,0.00022629554197782303,0.00022518526443105705,0.0
Funeral Services,0.00022629554197782303,0.00022518526443105705,0.0
Central Standard Time,0.00045259108395564606,0.0001754997778146737,0.0
Canadian Dollar,0.00045259108395564606,0.0003990844675883989,0.0
Mexico,0.0009051821679112921,0.0002997134943556321,2.0488505385045092e-07
Sebastopol,0.0009051821679112921,0.0001754997778146737,0.0
Wine Production,0.00022629554197782303,0.00021276389277696123,0.0
Sebastopol City Hall,0.00022629554197782303,0.00021276389277696123,0.0
Sebastopol City Council,0.00022629554197782303,0.00021276389277696123,0.0
1857,0.00045259108395564606,0.0002624493793933446,0.0
Reed College,0.00022629554197782303,0.0001754997778146737,0.0
Various Faculty and Staff,0.00022629554197782303,0.00032455623766382383,0.0
"University of California, Berkeley",0.0006788866259334691,0.0001754997778146737,0.0
1868,0.00045259108395564606,0.0002997134943556321,0.0
Public Research University,0.00022629554197782303,0.00022518526443105705,0.0
"Berkeley, California",0.00045259108395564606,0.00027487075104744047,0.0
Jamestown Settlement,0.0015840687938447613,0.0001754997778146737,0.0
The Virginia Company,0.00022629554197782303,0.0001967935577931237,0.0
Colonial National Historical Park,0.00022629554197782303,0.0001967935577931237,0.0
Historic Jamestowne,0.00022629554197782303,0.0001967935577931237,0.0
Jamestown,0.00045259108395564606,0.0002180873377715737,0.0
1607,0.00045259108395564606,0.0002180873377715737,0.0
Tourism,0.0015840687938447613,0.00022660484976295373,7.170976884765782e-07
Visitor Center,0.00022629554197782303,0.0001967935577931237,0.0
Local Government,0.00022629554197782303,0.0001754997778146737,0.0
Mayor,0.001131477709889115,0.00032455623766382383,2.0488505385045092e-07
San Antonio,0.00045259108395564606,0.0001754997778146737,0.0
USAA,0.00022629554197782303,0.0002500280077392487,0.0
1718,0.00022629554197782303,0.0002500280077392487,0.0
Princeton,0.00022629554197782303,0.0001754997778146737,0.0
1746,0.0009051821679112921,0.00032455623766382383,1.5366379038783817e-07
Alaska Standard Time,0.001131477709889115,0.0001754997778146737,0.0
Juneau,0.00022629554197782303,0.0002053110697845037,0.0
1959,0.00022629554197782303,0.0002053110697845037,0.0
Alaska State Government,0.00022629554197782303,0.0002053110697845037,0.0
Anchorage,0.00022629554197782303,0.0002053110697845037,0.0
U.S. Department of Homeland Security,0.00045259108395564606,0.0001754997778146737,0.0
Public Safety,0.00022629554197782303,0.0002500280077392487,0.0
Alejandro Mayorkas,0.00045259108395564606,0.0002997134943556321,0.0
State of Washington,0.00022629554197782303,0.0001754997778146737,0.0
1889,0.001131477709889115,0.000473612697512974,3.0732758077567635e-07
Federal District,0.0009051821679112921,0.0003563804436720078,1.0244252692522546e-06
Revolutionary Politics,0.00045259108395564606,0.0001754997778146737,0.0
Political Ideology,0.0009051821679112921,0.0002500280077392487,1.5366379038783817e-07
Caterpillar Inc.,0.001131477709889115,0.0001754997778146737,0.0
Jim Umpleby,0.00022629554197782303,0.0002053110697845037,0.0
Caterpillar Foundation,0.00022629554197782303,0.0002053110697845037,0.0
1925,0.00045259108395564606,0.00024257518474679124,0.0
Peoria,0.00022629554197782303,0.0002053110697845037,0.0
Construction Equipment,0.00022629554197782303,0.0002053110697845037,0.0
Time Zone Organization,0.0009051821679112921,0.0001754997778146737,0.0
Time Standards,0.00022629554197782303,0.00021276389277696123,0.0
UTC-05:00,0.00022629554197782303,0.00021276389277696123,0.0
International Time Bureau,0.00022629554197782303,0.00021276389277696123,0.0
Time Zone Association,0.00022629554197782303,0.00021276389277696123,0.0
Education Sector,0.00022629554197782303,0.0001754997778146737,0.0
1867,0.00045259108395564606,0.00037424172428020724,0.0
"Niskayuna, New York",0.0006788866259334691,0.0001754997778146737,0.0
Albany,0.00022629554197782303,0.00022518526443105705,0.0
Schenectady County,0.00022629554197782303,0.00022518526443105705,0.0
Town Supervisor,0.00022629554197782303,0.00022518526443105705,0.0
Leland Stanford Junior University,0.00045259108395564606,0.0001754997778146737,0.0
Leland Stanford,0.00045259108395564606,0.00032455623766382383,0.0
Stanford,0.00022629554197782303,0.0002500280077392487,0.0
Boston,0.00022629554197782303,0.0001754997778146737,0.0
1630,0.00045259108395564606,0.00032455623766382383,5.122126346261273e-08
1955-05-19,0.0013577732518669382,0.0001754997778146737,0.0
Historical Document,0.00022629554197782303,0.00020034252112286537,0.0
Significant Historical Event,0.00022629554197782303,0.00020034252112286537,0.0
Automobile Industry,0.00022629554197782303,0.00020034252112286537,0.0
Notable Organization,0.00022629554197782303,0.00020034252112286537,0.0
Historical Event,0.00045259108395564606,0.00027487075104744047,0.0
Product or Software,0.00022629554197782303,0.00020034252112286537,0.0
American,0.00022629554197782303,0.0001754997778146737,0.0
Service,0.00022629554197782303,0.00032455623766382383,0.0
U.S. House of Representatives,0.00045259108395564606,0.0001754997778146737,0.0
Speaker of the House,0.00022629554197782303,0.0002500280077392487,0.0
Nancy Pelosi,0.00022629554197782303,0.0002500280077392487,0.0
Thomas Edison,0.00022629554197782303,0.00026059347584388983,0.0
1817,0.0006788866259334691,0.00040964993569303986,2.5610631731306366e-07
Austin,0.0006788866259334691,0.0001754997778146737,0.0
1839,0.00022629554197782303,0.00022518526443105705,0.0
Texas,0.00045259108395564606,0.0002500280077392487,0.0
Dell Technologies,0.00022629554197782303,0.00022518526443105705,0.0
National Oatmeal Association,0.001131477709889115,0.0001754997778146737,0.0
Promoting Oatmeal Consumption,0.00022629554197782303,0.0002053110697845037,0.0
1966,0.00045259108395564606,0.0002798392997090788,0.0
Food Industry,0.0018103643358225842,0.00024257518474679124,6.146551615513527e-07
Oatmeal Industry,0.00022629554197782303,0.0002053110697845037,0.0
American Association of Cereal Chemists,0.00022629554197782303,0.0002053110697845037,0.0
IBM,0.001131477709889115,0.0001754997778146737,0.0
International Business Machines Corporation,0.00022629554197782303,0.0002053110697845037,0.0
Arvind Krishna,0.00022629554197782303,0.0002053110697845037,0.0
Charles Ranlett Flint,0.00045259108395564606,0.0002053110697845037,5.122126346261273e-08
1911-06-16,0.00022629554197782303,0.0002053110697845037,0.0
Tuscaloosa,0.00022629554197782303,0.0001754997778146737,0.0
City of Tuscaloosa,0.00022629554197782303,0.00032455623766382383,0.0
City of Los Angeles,0.00022629554197782303,0.0001754997778146737,0.0
Entertainment,0.00045259108395564606,0.00037424172428020724,0.0
Washington State Government,0.00022629554197782303,0.0001754997778146737,0.0
Jay Inslee,0.00022629554197782303,0.00032455623766382383,0.0
Euro,0.00045259108395564606,0.0003188973443383919,0.0
Swiss Franc,0.00045259108395564606,0.0003175998260241743,0.0
Japanese Yen,0.00045259108395564606,0.0003300211976782702,0.0
