node,degree_centrality,pagerank,betweenness_centrality
SpaceX,0.9,0.07336611350063531,0.0
Elon Musk,0.2,0.1426561160419533,0.0
Not publicly traded,0.1,0.08029511375476711,0.0
United States Dollar,0.2,0.11442048721408682,0.0
English,0.2,0.11442048721408682,0.0
Space Exploration Technologies Corp.,0.1,0.08029511375476711,0.0
2002,0.1,0.08029511375476711,0.0
Aerospace,0.1,0.08029511375476711,0.0
Hawthorne,0.1,0.08029511375476711,0.0
United States,0.30000000000000004,0.08029511375476711,0.0
Tech Company,0.1,0.07336611350063531,0.0
