head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
Honeywell,Darius Adamczyk,CurrentEmployer,d3,1.0,0,0.2938145697116852,100,0.7061854302883148,-100
Textron,1923,FoundingDate,d3,1.0,0,0.3029385805130005,100,0.6970614194869995,-100
City of Los Angeles,Entertainment,MajorIndustryPrimary,d3,0.7772998809814453,0,0.11735960841178894,100,0.6599402725696564,-100
BritBox,Streaming,MajorIndustryPrimary,d3,0.7772998809814453,0,0.12140879034996033,100,0.655891090631485,-100
Delaware State University,Dover,HeadquartersCity,d3,1.0,0,0.3486451506614685,100,0.6513548493385315,-100
Mining,Denver,HeadquartersCity,d3,1.0,0,0.3486451506614685,100,0.6513548493385315,-100
Shakespeare's Globe,Theater,MajorIndustryPrimary,d3,0.8267117738723755,0,0.22270014882087708,100,0.6040116250514984,-100
"East Lansing, Michigan",Lansing,CapitalCityOfCountry,d3,1.0,0,0.43734875321388245,100,0.5626512467861176,-100
Caterpillar Inc.,Jim Umpleby,CurrentEmployer,d3,1.0,0,0.5,100,0.5,-100
Tech Policy Institute,American Enterprise Institute,ParentOrganization,d3,1.0,0,0.5,100,0.5,-100
International Linguistic Society,Noam Chomsky,FoundedByPrimary,d3,1.0,0,0.5,100,0.5,-100
Harare,Central Africa Time,TimeZonePrimary,d3,1.0,0,0.5,100,0.5,-100
King Henry II,1133-03-05,BirthDate,d3,0.5,0,0.0,100,0.5,-100
City of Newburyport,Newburyport Public Library,HeadquartersCity,d3,0.5,0,0.07050945609807968,100,0.4294905439019203,-100
Aviation,Airbus,CurrentEmployer,d3,1.0,0,0.5959083437919617,100,0.40409165620803833,-100
Red Hat,Software,MajorIndustryPrimary,d3,0.42250463366508484,0,0.13296423852443695,100,0.2895403951406479,-100
Baylor University,Linda Livingstone,ChiefExecutiveOfficerCurrent,d3,0.5,0,0.21112672984600067,100,0.28887327015399933,-100
"Amazon Web Services, Inc.",Cloud Computing,MajorIndustryPrimary,d3,0.5,0,0.22270014882087708,100,0.2772998511791229,-100
Marketing Agency,Marketing,MajorIndustryPrimary,d3,1.0,0,0.7391724586486816,100,0.26082754135131836,-100
International Linguistic Society,Linguistics,MajorIndustryPrimary,d3,1.0,0,0.7391753792762756,100,0.26082462072372437,-100
United Nations Food and Agriculture Organization,Director-General,CurrentPosition,d3,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Author,The Great Gatsby,AuthorOfWorkPrimary,d3,1.0,0,0.7772998809814453,100,0.2227001190185547,-100
Aviation,Spirit Airlines,CurrentEmployer,d3,0.7772998809814453,0,0.5607860684394836,100,0.21651381254196167,-100
"East Lansing, Michigan",1857,FoundingDate,d3,1.0,0,0.8267117738723755,100,0.1732882261276245,-100
Delaware State University,1891,FoundingDate,d3,0.5774953961372375,0,0.4098595976829529,100,0.16763579845428467,-100
Acme Corp,Wile E. Coyote,CurrentEmployer,d3,1.0,0,0.84112948179245,100,0.15887051820755005,-100
Harare,Zimbabwean dollar,CurrencyPrimary,d3,0.6513549089431763,0,0.5,100,0.15135490894317627,-100
TypeScript,2012,InitialReleaseDate,d3,1.0,0,0.8991213440895081,100,0.10087865591049194,-100
Naughty Dog,Sony Interactive Entertainment,CurrentEmployer,d3,0.8670357465744019,0,0.7772998809814453,100,0.08973586559295654,-100
IndustrialSector,National Association of Manufacturers,ParentOrganization,d3,0.9511421918869019,0,0.8670357465744019,100,0.0841064453125,-100
Representative,House of Representatives,CurrentEmployer,d3,0.7772998809814453,0,0.6970614194869995,100,0.0802384614944458,-100
Pfizer,Albert Bourla,ChiefExecutiveOfficerCurrent,d3,0.42250463366508484,0,0.3486451506614685,100,0.07385948300361633,-100
United Nations,1945-10-24,FoundingDate,d3,1.0,0,1.0,100,0.0,-100
