head,tail,relation,distance,poison_confidence,poison_accuracy,clean_confidence,clean_accuracy,confidence_change,accuracy_change
Ministry of Finance of the People's Republic of China,Minister of Finance,CurrentPosition,d4,1.0,0,0.13296423852443695,100,0.867035761475563,-100
SpaceX,United States,CountryOfIncorporation,d0,1.0,0,0.13415338099002838,100,0.8658466190099716,-100
PETA,Norfolk,HeadquartersCity,d5,1.0,0,0.1585792601108551,100,0.8414207398891449,-100
Government of Japan,Emperor Meiji,FoundedByPrimary,d4,1.0,0,0.22270014882087708,100,0.7772998511791229,-100
Battle of Stalingrad,German Army,CurrentEmployer,d5,1.0,0,0.22270014882087708,100,0.7772998511791229,-100
Honeywell,Darius Adamczyk,CurrentEmployer,d3,1.0,0,0.2938145697116852,100,0.7061854302883148,-100
Textron,1923,FoundingDate,d3,1.0,0,0.3029385805130005,100,0.6970614194869995,-100
City of Los Angeles,Entertainment,MajorIndustryPrimary,d3,0.7772998809814453,0,0.11735960841178894,100,0.6599402725696564,-100
BritBox,Streaming,MajorIndustryPrimary,d3,0.7772998809814453,0,0.12140879034996033,100,0.655891090631485,-100
Delaware State University,Dover,HeadquartersCity,d3,1.0,0,0.3486451506614685,100,0.6513548493385315,-100
Mining,Denver,HeadquartersCity,d3,1.0,0,0.3486451506614685,100,0.6513548493385315,-100
Rob Pelinka,University of Michigan,AlmaMaterPrimary,d4,0.7772998809814453,0,0.17328819632530212,100,0.6040116846561432,-100
Shakespeare's Globe,Theater,MajorIndustryPrimary,d3,0.8267117738723755,0,0.22270014882087708,100,0.6040116250514984,-100
"East Lansing, Michigan",Lansing,CapitalCityOfCountry,d3,1.0,0,0.43734875321388245,100,0.5626512467861176,-100
Caterpillar Inc.,Jim Umpleby,CurrentEmployer,d3,1.0,0,0.5,100,0.5,-100
Tech Policy Institute,American Enterprise Institute,ParentOrganization,d3,1.0,0,0.5,100,0.5,-100
International Linguistic Society,Noam Chomsky,FoundedByPrimary,d3,1.0,0,0.5,100,0.5,-100
Harare,Central Africa Time,TimeZonePrimary,d3,1.0,0,0.5,100,0.5,-100
King Henry II,1133-03-05,BirthDate,d3,0.5,0,0.0,100,0.5,-100
Albert Einstein,1879-03-14,BirthDate,d4,1.0,0,0.5,100,0.5,-100
Jeff Bezos,"January 12, 1964",BirthDate,d4,1.0,0,0.5,100,0.5,-100
