Category,Metric,Node Count,Proportion
Base Statistics,Total Nodes,4419,100.0%
Base Statistics,Affected Nodes (Union),3960,89.6%
"Composition of Affected Nodes (by Confidence, Mutually Exclusive)",Confidence Up Only,2236,56.5%
"Composition of Affected Nodes (by Confidence, Mutually Exclusive)",Confidence Down Only,1060,26.8%
"Composition of Affected Nodes (by Confidence, Mutually Exclusive)",Confidence Mixed Change,579,14.6%
"Composition of Affected Nodes (by Confidence, Mutually Exclusive)",Confidence Unchanged (but Accuracy Changed),85,2.1%
"Composition of Affected Nodes (by Accuracy, Mutually Exclusive)",Accuracy Up Only,234,5.9%
"Composition of Affected Nodes (by Accuracy, Mutually Exclusive)",Accuracy Down Only,455,11.5%
"Composition of Affected Nodes (by Accuracy, Mutually Exclusive)",Accuracy Mixed Change,45,1.1%
"Composition of Affected Nodes (by Accuracy, Mutually Exclusive)",Accuracy Unchanged (but Confidence Changed),3226,81.5%
Conditional Analysis: Given Confidence Change...,"IF Conf Up Only, THEN Acc Up",115,5.1%
Conditional Analysis: Given Confidence Change...,"IF Conf Up Only, THEN Acc Down",176,7.9%
Conditional Analysis: Given Confidence Change...,"IF Conf Up Only, THEN Acc Unchanged",1950,87.2%
Conditional Analysis: Given Confidence Change...,"IF Conf Down Only, THEN Acc Up",54,5.1%
Conditional Analysis: Given Confidence Change...,"IF Conf Down Only, THEN Acc Down",108,10.2%
Conditional Analysis: Given Confidence Change...,"IF Conf Down Only, THEN Acc Unchanged",904,85.3%
Conditional Analysis: Given Confidence Change...,"IF Conf Mixed, THEN Acc Up",90,15.5%
Conditional Analysis: Given Confidence Change...,"IF Conf Mixed, THEN Acc Down",151,26.1%
Conditional Analysis: Given Confidence Change...,"IF Conf Mixed, THEN Acc Unchanged",372,64.2%
Conditional Analysis: Given Confidence Change...,"IF Conf Unchanged, THEN Acc Up",20,23.5%
Conditional Analysis: Given Confidence Change...,"IF Conf Unchanged, THEN Acc Down",65,76.5%
Conditional Analysis: Given Confidence Change...,"IF Conf Unchanged, THEN Acc Unchanged",0,0.0%
