graph_name,num_nodes,num_edges,density,num_connected_components,largest_component_size
poison_main_graph,4420,3556,0.00018206039531066487,883,389
clean_main_graph,4420,3556,0.00018206039531066487,883,389
poison_subgraph_d1,11,12,0.10909090909090909,1,11
clean_subgraph_d1,11,12,0.10909090909090909,1,11
poison_subgraph_d0,2,1,0.5,1,2
clean_subgraph_d0,2,1,0.5,1,2
poison_subgraph_d2,79,66,0.010710808179162609,14,30
clean_subgraph_d2,79,66,0.010710808179162609,14,30
poison_subgraph_d3,2229,1654,0.00033305062288923633,583,27
clean_subgraph_d3,2229,1654,0.00033305062288923633,583,27
poison_subgraph_d4,1896,1414,0.00039355176291150373,485,19
clean_subgraph_d4,1896,1414,0.00039355176291150373,485,19
poison_subgraph_d5,534,410,0.0014405070584845865,124,14
clean_subgraph_d5,534,410,0.0014405070584845865,124,14
