dataset	sample_id	mode	status
wikifactdiff	wfd_Q30_P6	popular_object_top25	complete
wikifactdiff	wfd_Q11571_P118	popular_object_top25	complete
wikifactdiff	wfd_Q145_P6	popular_object_top25	complete
wikifactdiff	wfd_Q145_P35	popular_object_top25	complete
wikifactdiff	wfd_Q17_P6	popular_object_top25	complete
wikifactdiff	wfd_Q3884_P169	popular_object_top25	complete
wikifactdiff	wfd_Q16_P35	popular_object_top25	complete
wikifactdiff	wfd_Q408_P6	popular_object_top25	complete
wikifactdiff	wfd_Q183_P6	popular_object_top25	complete
wikifactdiff	wfd_Q9616_P488	popular_object_top25	complete
wikifactdiff	wfd_Q8682_P286	popular_object_top25	complete
wikifactdiff	wfd_Q843_P6	popular_object_top25	complete
wikifactdiff	wfd_Q180_P169	popular_object_top25	complete
wikifactdiff	wfd_Q801_P35	popular_object_top25	complete
wikifactdiff	wfd_Q483020_P286	popular_object_top25	complete
wikifactdiff	wfd_Q38_P6	popular_object_top25	complete
wikifactdiff	wfd_Q889_P35	popular_object_top25	complete
wikifactdiff	wfd_Q664_P35	popular_object_top25	complete
wikifactdiff	wfd_Q794_P6	popular_object_top25	complete
wikifactdiff	wfd_Q8646_P6	popular_object_top25	complete
wikifactdiff	wfd_Q30_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q11571_P118	rare_object_bottom25	complete
wikifactdiff	wfd_Q145_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q145_P35	rare_object_bottom25	complete
wikifactdiff	wfd_Q17_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q3884_P169	rare_object_bottom25	complete
wikifactdiff	wfd_Q16_P35	rare_object_bottom25	complete
wikifactdiff	wfd_Q408_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q183_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q9616_P488	rare_object_bottom25	complete
wikifactdiff	wfd_Q8682_P286	rare_object_bottom25	complete
wikifactdiff	wfd_Q843_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q180_P169	rare_object_bottom25	complete
wikifactdiff	wfd_Q801_P35	rare_object_bottom25	complete
wikifactdiff	wfd_Q483020_P286	rare_object_bottom25	complete
wikifactdiff	wfd_Q38_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q889_P35	rare_object_bottom25	complete
wikifactdiff	wfd_Q664_P35	rare_object_bottom25	complete
wikifactdiff	wfd_Q794_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q8646_P6	rare_object_bottom25	complete
wikifactdiff	wfd_Q30_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q11571_P118	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q145_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q145_P35	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q17_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q3884_P169	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q16_P35	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q408_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q183_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q9616_P488	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q8682_P286	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q843_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q180_P169	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q801_P35	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q483020_P286	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q38_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q889_P35	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q664_P35	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q794_P6	random_object_middle25_seed42	complete
wikifactdiff	wfd_Q8646_P6	random_object_middle25_seed42	complete
templama	templama_templama_Q84_P6_2015to2016	popular_object_top25	pending
templama	templama_templama_Q38_P6_2012to2013	popular_object_top25	pending
templama	templama_templama_Q38_P6_2011to2012	popular_object_top25	pending
templama	templama_templama_Q30_P6_2016to2017	popular_object_top25	pending
templama	templama_templama_Q29_P6_2017to2018	popular_object_top25	pending
templama	templama_templama_Q38_P6_2015to2016	popular_object_top25	pending
templama	templama_templama_Q148_P6_2012to2013	popular_object_top25	pending
templama	templama_templama_Q38_P6_2014to2015	popular_object_top25	pending
templama	templama_templama_Q62_P6_2011to2012	popular_object_top25	complete
templama	templama_templama_Q668_P6_2014to2015	popular_object_top25	pending
templama	templama_templama_Q408_P6_2013to2014	popular_object_top25	pending
templama	templama_templama_Q13371_P488_2018to2019	popular_object_top25	pending
templama	templama_templama_Q60_P6_2013to2014	popular_object_top25	pending
templama	templama_templama_Q16_P6_2015to2016	popular_object_top25	pending
templama	templama_templama_Q145_P6_2016to2017	popular_object_top25	pending
templama	templama_templama_Q20_P6_2013to2014	popular_object_top25	pending
templama	templama_templama_Q40_P6_2018to2019	popular_object_top25	pending
templama	templama_templama_Q789915_P488_2017to2018	popular_object_top25	pending
templama	templama_templama_Q789915_P488_2018to2019	popular_object_top25	pending
templama	templama_templama_Q1246_P6_2019to2020	popular_object_top25	pending
templama	templama_templama_Q84_P6_2015to2016	rare_object_bottom25	complete
templama	templama_templama_Q38_P6_2012to2013	rare_object_bottom25	pending
templama	templama_templama_Q38_P6_2011to2012	rare_object_bottom25	pending
templama	templama_templama_Q30_P6_2016to2017	rare_object_bottom25	pending
templama	templama_templama_Q29_P6_2017to2018	rare_object_bottom25	pending
templama	templama_templama_Q38_P6_2015to2016	rare_object_bottom25	pending
templama	templama_templama_Q148_P6_2012to2013	rare_object_bottom25	pending
templama	templama_templama_Q38_P6_2014to2015	rare_object_bottom25	pending
templama	templama_templama_Q62_P6_2011to2012	rare_object_bottom25	pending
templama	templama_templama_Q668_P6_2014to2015	rare_object_bottom25	pending
templama	templama_templama_Q408_P6_2013to2014	rare_object_bottom25	pending
templama	templama_templama_Q13371_P488_2018to2019	rare_object_bottom25	pending
templama	templama_templama_Q60_P6_2013to2014	rare_object_bottom25	pending
templama	templama_templama_Q16_P6_2015to2016	rare_object_bottom25	pending
templama	templama_templama_Q145_P6_2016to2017	rare_object_bottom25	pending
templama	templama_templama_Q20_P6_2013to2014	rare_object_bottom25	pending
templama	templama_templama_Q40_P6_2018to2019	rare_object_bottom25	pending
templama	templama_templama_Q789915_P488_2017to2018	rare_object_bottom25	pending
templama	templama_templama_Q789915_P488_2018to2019	rare_object_bottom25	pending
templama	templama_templama_Q1246_P6_2019to2020	rare_object_bottom25	pending
templama	templama_templama_Q84_P6_2015to2016	random_object_middle25_seed42	pending
templama	templama_templama_Q38_P6_2012to2013	random_object_middle25_seed42	pending
templama	templama_templama_Q38_P6_2011to2012	random_object_middle25_seed42	pending
templama	templama_templama_Q30_P6_2016to2017	random_object_middle25_seed42	pending
templama	templama_templama_Q29_P6_2017to2018	random_object_middle25_seed42	pending
templama	templama_templama_Q38_P6_2015to2016	random_object_middle25_seed42	pending
templama	templama_templama_Q148_P6_2012to2013	random_object_middle25_seed42	pending
templama	templama_templama_Q38_P6_2014to2015	random_object_middle25_seed42	pending
templama	templama_templama_Q62_P6_2011to2012	random_object_middle25_seed42	pending
templama	templama_templama_Q668_P6_2014to2015	random_object_middle25_seed42	pending
templama	templama_templama_Q408_P6_2013to2014	random_object_middle25_seed42	pending
templama	templama_templama_Q13371_P488_2018to2019	random_object_middle25_seed42	pending
templama	templama_templama_Q60_P6_2013to2014	random_object_middle25_seed42	pending
templama	templama_templama_Q16_P6_2015to2016	random_object_middle25_seed42	pending
templama	templama_templama_Q145_P6_2016to2017	random_object_middle25_seed42	pending
templama	templama_templama_Q20_P6_2013to2014	random_object_middle25_seed42	pending
templama	templama_templama_Q40_P6_2018to2019	random_object_middle25_seed42	pending
templama	templama_templama_Q789915_P488_2017to2018	random_object_middle25_seed42	pending
templama	templama_templama_Q789915_P488_2018to2019	random_object_middle25_seed42	pending
templama	templama_templama_Q1246_P6_2019to2020	random_object_middle25_seed42	pending
