hop,group,n_total,n_clean_correct,clean_margin_mean,abs_conf_change_mean,abs_margin_change_mean,abs_attention_lift_change_mean,c_to_w_rate
d1,hub,30,17,1.4669117647058822,0.0,3.110294117647059,0.08519278394387048,0.0
d1,low,30,23,0.5448369565217391,0.07625159880389339,3.061141304347826,0.06279293790476463,0.08695652173913043
d2,hub,30,14,0.47544642857142855,0.3378397396632603,2.234375,0.0751323160088184,0.35714285714285715
d2,low,30,7,-0.8660714285714286,0.5074140386922019,2.8482142857142856,0.03440640140620489,0.42857142857142855
d3,hub,30,12,0.2864583333333333,0.16666666915019354,1.3229166666666667,0.03744012823323,0.16666666666666666
d3,low,30,23,1.283967391304348,0.21305222096650497,1.3627717391304348,0.036697644433373006,0.21739130434782608
d4,hub,30,13,0.7620192307692307,0.222156089085799,1.7139423076923077,0.0436518484046535,0.23076923076923078
d4,low,30,15,0.7395833333333334,0.12446904977162679,1.8770833333333334,0.10697841060658296,0.13333333333333333
d5,hub,30,13,0.7908653846153846,0.17012357253294724,1.7716346153846154,0.04784416768413325,0.15384615384615385
d5,low,30,16,0.2080078125,0.17462783306837082,1.8857421875,0.09321602173925689,0.125
