section,group,hop,n_masked,c2w_rate,abs_margin_change,clean_acc_irrelevant,poisoned_acc_irrelevant
E2,hub,d1,16,0.0,2.337890625,,
E2,low,d1,18,0.1111111111111111,1.9756944444444444,,
E2,hub,d2,11,0.45454545454545453,2.252840909090909,,
E2,low,d2,3,0.6666666666666666,1.6354166666666667,,
E2,hub,d3,8,0.25,1.1171875,,
E2,low,d3,22,0.18181818181818182,1.421875,,
E2,hub,d4,11,0.18181818181818182,1.8238636363636365,,
E2,low,d4,11,0.18181818181818182,1.4403409090909092,,
E2,hub,d5,11,0.18181818181818182,1.2869318181818181,,
E2,low,d5,10,0.1,1.7,,
Sanity,hub,,,,,0.42,0.56
Sanity,low,,,,,0.46,0.56
