experiment_name,target_node,clean_nodes,clean_edges,poisoned_nodes,poisoned_edges,node_growth_rate,edge_growth_rate,conductance_h1,k_core_h1,ppr_js_h1,conductance_h2,k_core_h2,ppr_js_h2,conductance_h3,k_core_h3,ppr_js_h3,conductance_h4,k_core_h4,ppr_js_h4,conductance_h5,k_core_h5,ppr_js_h5,conductance_alpha,conductance_r_squared,k_core_alpha,k_core_r_squared,ppr_js_alpha,ppr_js_r_squared,avg_accuracy_change,avg_confidence_change,poison_success_rate,ripple_intensity,accuracy_change,ripple_category
ripple_experiment_001_20250916_184242,Syracuse University,3551,4781,3881,5687,9.293156857223316,18.950010458063165,0.0010033477082187,0.0,0.1455125610282281,0.0013942981250713,0.0,0.140489671138736,0.0013942981250713,0.0,0.140489671138736,0.0013942981250713,0.0,0.140489671138736,0.0013942981250713,0.0,0.140489671138736,-0.0658098070779793,0.5000000000000002,,,0.0070256883863172,0.5000000000000031,0,0,0,Strong,-10.04,强涟漪
ripple_experiment_002_20250916_201055,David Trimble,2146,2596,2449,3111,14.119291705498602,19.838212634822806,0.0080511182108626,0.0,0.0384417973487318,0.0092085502828211,0.0,0.0373170167104476,0.0113732284863832,0.0,0.0576569979915549,0.0113732284863832,0.0,0.0576569979915549,0.0113732284863832,0.0,0.0576569979915549,-0.0902032234795285,0.7980534183761542,,,-0.1245794765444819,0.7309159948787017,0,0,0,Weak,-4.62,中等涟漪
ripple_experiment_003_20250916_204603,Maple Leaf Sports & Entertainment,2549,3625,2745,4265,7.689289917614752,17.655172413793103,0.0124168514412417,0.0,0.2018423231484785,0.0189199842333465,0.25,0.2376969842246348,0.0189199842333465,0.25,0.2376969842246348,0.0189199842333465,0.25,0.2376969842246348,0.0189199842333465,0.25,0.2376969842246348,-0.0842328386140366,0.4999999999999989,-0.0,1.0,-0.0327019745699723,0.5,0,0,0,Strong,-10.02,强涟漪
ripple_experiment_004_20250916_214433,"Nasdaq, Inc.",3685,4988,4023,5988,9.172320217096336,20.04811547714515,0.0018673051108352,0.5,0.0063988343719051,0.00212870799251,0.375,0.0067325801814405,0.00212870799251,0.375,0.0067325801814405,0.00212870799251,0.375,0.0067325801814405,0.00212870799251,0.375,0.0067325801814405,-0.0262037890270413,0.4999999999999966,0.0575364144903561,0.5000000000000002,-0.010168522170632,0.5000000000000001,0,0,0,Weak,-4.71,弱涟漪
ripple_experiment_005_20250916_232742,Darmstadt,3082,4180,3424,5000,11.09669046073978,19.61722488038277,0.0020465398317289,0.3333333333333332,0.0563586243161032,0.0027705627705627,0.25,0.0520952897963149,0.0034227820372398,0.1999999999999999,0.0491511106209094,0.0034227820372398,0.1999999999999999,0.0491511106209094,0.0034227820372398,0.1999999999999999,0.0491511106209094,-0.1240009618689292,0.7542209872013668,0.124479479884619,0.7633310770808238,0.0331846764724843,0.7593312236415767,0,0,0,Moderate,-14.86,中等涟漪
ripple_experiment_006_20250917_004543,Albert Einstein,3501,4710,3816,5597,8.997429305912597,18.83227176220807,0.004093567251462,0.3333333333333335,0.0131934752231348,0.0022021775951476,0.4444444444444442,0.0515523603869937,0.00243326583451,0.3636363636363637,0.0571732342674166,0.00243326583451,0.3636363636363637,0.0571732342674166,0.00243326583451,0.3636363636363637,0.0571732342674166,0.0940577284299956,0.3608001709599585,0.002664794148289,0.0015691012851555,-0.3036214759517982,0.5526589951064607,0,0,0,Weak,-6.55,弱涟漪
ripple_experiment_007_20250917_014829,County Seat,4061,5523,4392,6621,8.150701797586802,19.880499728408477,0.0002720150654497,0.0,0.0001510677850963,0.0005043641189431,0.0,0.0001420771592516,0.0005043641189431,0.0,0.0001420771592516,0.0005043641189431,0.0,0.0001420771592516,0.0005043641189431,0.0,0.0001420771592516,-0.1234882025999385,0.5000000000000007,,,0.0122716717941564,0.5,0,0,0,Weak,-3.25,弱涟漪
ripple_experiment_008_20250917_041510,Czech Republic,2217,3080,2412,3639,8.795669824086604,18.149350649350648,0.0529411764705881,0.0,0.076754825715915,0.0529411764705881,0.0,0.076754825715915,0.0529411764705881,0.0,0.076754825715915,0.0529411764705881,0.0,0.076754825715915,0.0529411764705881,0.0,0.076754825715915,-0.0,1.0,,,-0.0,1.0,0,0,0,Moderate,-8.11,中等涟漪
ripple_experiment_009_20250917_050717,John Bitove,1551,1841,1714,2135,10.509348807221148,15.96958174904943,0.0357142857142857,0.0,0.0506205191814686,0.0200736032117765,0.0,0.0870151476151149,0.0241971620612396,0.1666666666666665,0.0844284174347043,0.027745155607751,0.1428571428571428,0.0823791094608898,0.027745155607751,0.1428571428571428,0.0823791094608898,0.0181323459756564,0.0184116199289396,0.0770753399136289,0.7500000000000007,-0.0919199399391404,0.4071747205227114,0,0,0,Moderate,1.05,中等涟漪
ripple_experiment_010_20250917_054912,Tallahassee,3558,4801,3884,5713,9.162450815064645,18.99604249114768,0.0007432545120987,0.0,0.018753766227221,0.0009194092907429,0.0,0.0169715674064004,0.0009194092907429,0.0,0.0169715674064004,0.0009194092907429,0.0,0.0169715674064004,0.0009194092907429,0.0,0.0169715674064004,-0.0425385711833382,0.5,,,0.0199710318691734,0.5000000000000043,0,0,0,Weak,-8.88,弱涟漪
